wallet,archetype,coin,dir,qty,entry_ts,entry_px,exit_ts,exit_px,gross_pnl,fees,net_pnl,hold_s,exit_reason
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.012266703488962664,1786717920000,968.7853650000001,1786717920000,969.7546349999999,-0.011889747690744683,0.01077233016432522,-0.0226620778550699,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.32938370479621804,1786717920000,968.7853650000001,1786717920000,969.7546349999999,-0.31926174354777226,0.2910308148770837,-0.610292558424856,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.17131340140620233,1786717920000,968.7853650000001,1786717920000,969.7546349999999,-0.16604894058095956,0.18864096322044452,-0.3546899038014041,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.14291206233806075,1786717920000,968.7853650000001,1786717920000,969.7546349999999,-0.13852037466238698,0.18955482612824434,-0.3280752007906313,0.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.012245846502657415,1786717920000,968.7853650000001,1786717980000,968.453985,0.004058028614051606,0.02052952881179266,-0.016471500197741053,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.024479803833953012,1786717920000,968.7853650000001,1786717980000,968.453985,0.008112117394497333,0.042100318935438856,-0.03398820154094152,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.012269624845381005,1786717920000,968.7853650000001,1786717980000,968.453985,0.004065908281263352,0.022284315547435665,-0.018218407266172312,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0007138234715266554,1786717920000,968.7853650000001,1786717980000,968.453985,0.00023654682199456093,0.001334997214524043,-0.001098450392529482,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0023755108970477173,1786717920000,968.7853650000001,1786717980000,968.453985,0.0007871968010638651,0.004450466461323672,-0.0036632696602598076,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0001872323859741842,1786717920000,968.7853650000001,1786717980000,968.453985,6.204506806414034e-05,0.000352834198833392,-0.0002907891307692516,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0001287222653572569,1786717920000,968.7853650000001,1786717980000,968.453985,4.2655984294098224e-05,0.0002426859777816147,-0.0002000299934875165,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.044257055234652676,1786717920000,968.7853650000001,1786717980000,968.453985,0.014665902963662792,0.08346646287154377,-0.06880055990788099,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.022128527617326362,1786717920000,968.7853650000001,1786717980000,968.453985,0.007332951481831404,0.04707113520663086,-0.03973818372479945,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.02212852761732632,1786717920000,968.7853650000001,1786717980000,968.453985,0.00733295148183139,0.050466446604943,-0.043133495123111605,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.02212852761732632,1786717920000,968.7853650000001,1786717980000,968.453985,0.00733295148183139,0.05453924390113519,-0.0472062924193038,60.0,source_partial_close
